id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
177,Tiny Home in the Heart of the City- ECO FRIENDLY,615,Joe,,Virginia Village,39.69551,-104.92489,Entire home/apt,79,1,96,44515,1.48,2,329,19,2016-BFN-0004968
360,Sit in the Peaceful Garden of the Chickadee Cottage in LoHi,666,Jennifer & Giovanni,,Highland,39.76758,-105.00316,Entire home/apt,133,30,167,44499,4.05,2,88,34,2017-BFN-0002177
364,Lodo / RiNo LOFT  via airport train,783,Jason,,Five Points,39.76672,-104.97906,Entire home/apt,179,185,87,42486,0.57,1,362,0,
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75511,-104.91109,Private room,55,2,642,44545,4.13,2,239,36,2021-BFN-0000578
592,private,933,Jill,,North Park Hill,39.75481,-104.91106,Private room,52,1,165,44549,1.05,2,40,9,2021-BFN-0000578
686,Alexandra's Queen Bed Room LONG-TERM RENTAL,990,Alexandra,,North Capitol Hill,39.74695,-104.97838,Private room,33,30,256,44393,1.58,1,290,2,2016-BFN-0008368
1940,Baker Studio Close to EVERYTHING,2150,Joanne,,Baker,39.72166,-104.99864,Entire home/apt,100,1,77,44558,1.28,1,233,23,2018-BFN-0002596
31503,Highland Park Guest House,135298,Rick,,West Highland,39.76179,-105.02845,Entire home/apt,85,4,105,44543,0.76,1,319,29,2020-BFN-0000193
39405,LoHi Secret garden at Mulberry Cottage Monthly,666,Jennifer & Giovanni,,Highland,39.76605,-105.00526,Entire home/apt,110,29,627,44500,4.52,2,107,5,
90307,Comfy King Size Room (Park Hill),489506,Doreen,,South Park Hill,39.7495,-104.93362,Private room,90,1,227,44514,1.87,3,84,23,2021-BFN-0005164
154999,In the Heart of Downtown Denver,745200,Susan,,CBD,39.74439,-104.98927,Entire home/apt,67,90,11,40890,0.09,6,336,0,
172196,Luxury Wash Park Home Great for Families & Groups,526354,Michael,,Washington Park,39.69691,-104.9611,Entire home/apt,400,5,28,44427,0.22,1,201,2,2017-BFN-0004301
192430,treetop view bedroom  east dwntwn ./  4-8 weeks,923646,Kate,,South Park Hill,39.7435,-104.93753,Private room,46,29,126,44517,1,1,118,6,
217996,Highland Snug,10730,William,,Highland,39.75895,-105.01036,Private room,75,30,11,42953,0.14,2,313,0,STR 2017-BFN-0002802
283162,2000 SF-Lodo Club Style Condo,1475137,Lee,,Union Station,39.7515,-104.99473,Entire home/apt,165,30,2,44428,0.05,1,326,1,
